alpha tag,tag,entity,mode,description,input,type,tone,entity_type,group,license,category,tone in,frequency
16,Railroad,Queensland Rail,FM,SHUNT,,M,162.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.625
17,Railroad,Queensland Rail,FM,SHUNT,,M,179.9 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.425
18,Railroad,Queensland Rail,FM,SHUNT,,M,179.9 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.625
19,Railroad,Queensland Rail,FM,SHUNT,,M,203.5 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.425
20,Railroad,Queensland Rail,FM,SHUNT,,M,203.5 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.625
21,Railroad,Queensland Rail,FM,TCR 211,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.100
22,Railroad,Queensland Rail,FM,TCR 212,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.125
23,Railroad,Queensland Rail,FM,TCR 213,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.150
24,Railroad,Queensland Rail,FM,TCR 221,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.400
25,Railroad,Queensland Rail,FM,TCR 222,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.450
26,Railroad,Queensland Rail,FM,TCR 223,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.500
27,Railroad,Queensland Rail,FM,TCR 231,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.700
28,Railroad,Queensland Rail,FM,TCR 232,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.750
29,Railroad,Queensland Rail,FM,TCR 233,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.800
30,Railroad,Queensland Rail,FM,VOTE ALL,,,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
31,Railroad,Queensland Rail,FM,TAR 211,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.100
32,Railroad,Queensland Rail,FM,TAR 212,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.125
33,Railroad,Queensland Rail,FM,TAR 213,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.150
34,Railroad,Queensland Rail,FM,TAR 221,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.400
35,Railroad,Queensland Rail,FM,TAR 222,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.450
36,Railroad,Queensland Rail,FM,TAR 223,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.500
37,Railroad,Queensland Rail,FM,TAR 231,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.700
38,Railroad,Queensland Rail,FM,TAR 232,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.750
39,Railroad,Queensland Rail,FM,TAR 233,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.800
40,Railroad,Queensland Rail,FM,Acacia Ridge Intermodel Manager,,RM,241.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.900
41,Railroad,Queensland Rail,FM,WAYSIDE,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.375
42,Railroad,Queensland Rail,FM,MSR - 42,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.175
43,Railroad,Queensland Rail,FM,MSR - 43,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.475
44,Railroad,Queensland Rail,FM,MSR - 44,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.775
45,Railroad,Queensland Rail,FM,MSR - 45,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.075
46,Railroad,Queensland Rail,FM,MSR - 46,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.375
47,Railroad,Queensland Rail,FM,MSR - 47,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.100
48,Railroad,Queensland Rail,FM,MSR - 48,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.400
49,Railroad,Queensland Rail,FM,MSR - 49,,RM,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.700
50,Railroad,Queensland Rail,FM,VOTE MSR,,,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
51,Railroad,Queensland Rail,FM,WAYSIDE,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.375
52,Railroad,Queensland Rail,FM,TAR 42,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.175
53,Railroad,Queensland Rail,FM,TAR 43,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.475
54,Railroad,Queensland Rail,FM,TAR 44,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.775
55,Railroad,Queensland Rail,FM,TAR 45,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.075
56,Railroad,Queensland Rail,FM,TAR 46,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.375
57,Railroad,Queensland Rail,FM,TAR 47,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.100
58,Railroad,Queensland Rail,FM,TAR 48,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.400
59,Railroad,Queensland Rail,FM,TAR 49,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.700
61,Railroad,Queensland Rail,FM,WAYSIDE,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.375
62,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,141.3 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.275
63,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,151.4 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.300
64,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,179.9 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.325
65,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,203.5 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.575
66,Railroad,Queensland Rail,FM,SPARE SHUNT - Normanby Wash,,RM,218.1 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.600
67,Railroad,Queensland Rail,FM,SPARE SHUNT - Mayne Yard,,RM,233.6 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.625
68,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,241.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.200
69,Railroad,Queensland Rail,FM,SPARE SHUNT,,M,241.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.425
70,Railroad,Queensland Rail,FM,SPARE SHUNT,,M,241.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.625
71,Railroad,Queensland Rail,FM,WAYSIDE,,M,CSQ,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.375
72,Railroad,Queensland Rail,FM,SPARE SHUNT - Fishermans Island Yard,,RM,110.9 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.275
73,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,123.0 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.300
74,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,136.5 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.325
75,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.575
76,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,173.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.600
77,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,186.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.625
78,Railroad,Queensland Rail,FM,SPARE SHUNT,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.200
79,Railroad,Queensland Rail,FM,SPARE SHUNT,,M,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.425
80,Railroad,Queensland Rail,FM,SPARE SHUNT,,M,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,411.625
91,Railroad,Queensland Rail,FM,Vote - Ipswich,,RM,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
93,Railroad,Queensland Rail,FM,Vote - Doomben,,RM,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
94,Railroad,Queensland Rail,FM,Vote - Northgate,,RM,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
95,Railroad,Queensland Rail,FM,Vote - Mayne,,RM,,Railroad,Queensland Rail - UHF,,Queensland Rail,,0.000
96,Railroad,Queensland Rail,FM,Roma Street Station,,RM,141.3 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.025
97,Railroad,Queensland Rail,FM,Central Station,,RM,173.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.625
98,Railroad,Queensland Rail,FM,Fortitude Valley Station,,RM,131.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.725
101,Railroad,Queensland Rail,FM,N211,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.100
102,Railroad,Queensland Rail,FM,N212,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.125
103,Railroad,Queensland Rail,FM,N213,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.150
104,Railroad,Queensland Rail,FM,N221 - Northgate,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.400
105,Railroad,Queensland Rail,FM,N222 - Roma Street,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.450
106,Railroad,Queensland Rail,FM,N223 - Mayne,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.500
107,Railroad,Queensland Rail,FM,N231,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.700
108,Railroad,Queensland Rail,FM,N232,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.750
109,Railroad,Queensland Rail,FM,N233,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.800
111,Railroad,Queensland Rail,FM,S211 - Ipswich,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.100
112,Railroad,Queensland Rail,FM,"S212 - Ormeau, Ipswich",,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.125
113,Railroad,Queensland Rail,FM,S213 - Nerang,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.150
114,Railroad,Queensland Rail,FM,S221 - Robina,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.400
115,Railroad,Queensland Rail,FM,S222 - Varsity Lakes,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.450
116,Railroad,Queensland Rail,FM,S223,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.500
117,Railroad,Queensland Rail,FM,S231 - Yerongpilly,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.700
118,Railroad,Queensland Rail,FM,S232 - Beenleigh,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.750
119,Railroad,Queensland Rail,FM,S233 - Cleveland,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.800
120,Railroad,Queensland Rail,FM,120 - Doomben,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.925
121,Railroad,Queensland Rail,FM,121 - Northgate,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.225
122,Railroad,Queensland Rail,FM,122 - Wynnum,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.300
123,Railroad,Queensland Rail,FM,Banoon,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.000
124,Railroad,Queensland Rail,FM,BEERBURRUM,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.000
125,Railroad,Queensland Rail,FM,125 - Fishermans Island,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,414.7875
130,Railroad,Queensland Rail,FM,130 Wilkes Knob,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,417.550
131,Railroad,Queensland Rail,FM,131,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,417.850
132,Railroad,Queensland Rail,FM,132 Southbank,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.425
133,Railroad,Queensland Rail,FM,133,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,418.725
134,Railroad,Queensland Rail,FM,134 Rosewood,,RM,192.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.025
135 YARD OPS,Railroad,Queensland Rail,FM,135 Aurizon Yard Ops,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.325
136 Cabooltu,Railroad,Queensland Rail,FM,136 Caboolture,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.625
137 North,Railroad,Queensland Rail,FM,137 North,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.050
138 NSB,Railroad,Queensland Rail,FM,138 NSB,,RM,146.2 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.350
139,Railroad,Queensland Rail,FM,139,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.650
140,Railroad,Queensland Rail,FM,140,,RM,,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,419.950
199 SRA,Railroad,Queensland Rail,FMN,NSW WB - Acacia Ridge - NSW Border,,BM,173.8 PL,Railroad,Queensland Rail - UHF,VL4QR,Queensland Rail,,450.050
SESRPT 1,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 1,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.9375
SESRPT 2,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 2,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.8875
SESRPT 3,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 3,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.8375
SESRPT 4,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 4,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.7875
SESRPT 5,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 5,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.7375
SESRPT 6,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 6,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.6875
SESRPT 7,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 7,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.6375
SESRPT 8,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 8,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.5875
SESRPT 9,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 9,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.5375
SESRPT 10,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 10,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.4875
SESRPT 11,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 11,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.4375
SESRPT 12,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 12,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.3875
SESRPT 13,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 13,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.3375
SESRPT 14,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 14,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.2875
SESRPT 15,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 15,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.2375
SESRPT 16,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 16,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.1875
SESRPT 17,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 17,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.1375
SESRPT 18,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 18,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.0875
SESRPT 19,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 19,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.0375
SESRPT 20,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 20,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.9875
SESRPT 21,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 21,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.9375
SESRPT 22,EMS Dispatch,Queensland State Emergency Service,FMN,SESRPT 22,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.8875
PRTRPT 1,EMS Dispatch,Queensland State Emergency Service,FMN,PRTRPT 1,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.8375
PRTRPT 2,EMS Dispatch,Queensland State Emergency Service,FMN,PRTRPT 2,,RM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.7875
SESTA 31,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 31,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.9375
SESTA 32,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 32,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.8875
SESTA 33,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 33,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.8375
SESTA 34,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 34,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.7875
SESTA 35,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 35,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.7375
SESTA 36,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 36,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.6875
SESTA 37,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 37,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.6375
SESTA 38,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 38,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.5875
SESTA 39,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 39,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.5375
SESTA 40,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 40,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.4875
SESTA 41,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 41,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.4375
SESTA 42,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 42,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.3875
SESTA 43,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 43,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.3375
SESTA 44,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 44,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.2875
SESTA 45,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 45,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.2375
SESTA 46,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 46,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.1875
SESTA 47,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 47,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.1375
SESTA 48,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 48,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.0875
SESTA 49,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 49,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,469.0375
SESTA 50,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 50,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.9875
SESTA 51,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 51,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.9375
SESTA 52,EMS-Tac,Queensland State Emergency Service,FMN,SESTA 52,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.8875
PRT TA 1,EMS-Tac,Queensland State Emergency Service,FMN,PRT TA 1,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.8375
PRT TA 2,EMS-Tac,Queensland State Emergency Service,FMN,PRT TA 2,,BM,107.2 PL,Public Safety,HGS Bandplan,,SES,,468.7875
CH 1,EMS-Tac,St Johns Ambulance Service,FM,Channel 1,,RM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,475.350
CH 2,EMS-Tac,St Johns Ambulance Service,FMN,Channel 2,,RM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,470.400
CH 3,EMS-Tac,St Johns Ambulance Service,FMN,Channel 3,,M,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,469.525
CH 4,EMS-Tac,St Johns Ambulance Service,FMN,Channel 4,,RM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,470.975
CH 5,EMS-Tac,St Johns Ambulance Service,FMN,Channel 5,,RM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,470.000
CH 6,EMS-Tac,St Johns Ambulance Service,FMN,Channel 6,,M,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,472.150
CH 7,EMS-Tac,St Johns Ambulance Service,FMN,Channel 7,,BM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,472.200
CH 8,EMS-Tac,St Johns Ambulance Service,FMN,Channel 8,,RM,107.2 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,462.850
CH 9,EMS-Tac,St Johns Ambulance Service,FMN,Channel 9,,RM,107.2 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,463.575
CH 10,EMS-Tac,St Johns Ambulance Service,FM,Channel 10,,RM,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,472.925
CH 13,EMS-Tac,St Johns Ambulance Service,FM,Channel 13,,M,107.2 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,411.400
CH 16,EMS-Tac,St Johns Ambulance Service,FM,Channel 16,,M,114.8 PL,Public Safety,Nationwide Bandplan,VK4SJA,UHF,,412.100
CH 25,EMS-Tac,St Johns Ambulance Service,FMN,Channel 25,,BM,114.8 PL,Public Safety,Nationwide Bandplan,VH6SJA,UHF,,472.150
DIGITAL 1,EMS-Tac,Surf Life Saving Queensland,NXDN,DIGITAL 1 - NATIONAL COMMON SIMPLEX,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,484.950
DIGITAL 2,EMS-Tac,Surf Life Saving Queensland,NXDN,DIGITAL 2 - NATIONAL COMMON SIMPLEX 2,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,485.000
DIGITAL 3,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 3 - NIU,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,483.800
DIGITAL 4,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 4 - GC SPRINGBROOK,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,487.625
DIGITAL 5,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 5 - GC POINT DANGER,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,487.950
DIGITAL 6,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 6 - GC BURLEIGH HILL,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,488.650
DIGITAL 7,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 7 - GC Q1,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,488.775
DIGITAL 8,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 8 - SC REDCLIFFE,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,500.800
DIGITAL 9,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 9 - POINT LOOKOUT,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,485.250
DIGITAL 10,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 10 - SC MORETON ISLAND,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,486.050
DIGITAL 11,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 11 - BRISBANE CITY,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,489.075
DIGITAL 13,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 13 - SC POINT CARTWRIGHT,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,485.900
DIGITAL 12,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 12 - SC CALOUNDRA,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,487.075
DIGITAL 14,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 14 - SC COOLUM,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,488.925
DIGITAL 15,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 15 - SC NOOSA,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,489.225
DIGITAL 16,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 16 - SC DOUBLE ISLAND POINT,,BM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,489.000
DIGITAL 17,EMS Dispatch,Surf Life Saving Queensland,NXDN,DIGITAL 17 - WBC HERVEY BAY,,RM,1 RAN,Public Safety,UHF Channels,VN4SP,SLSQ,,488.775
