category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Public Safety,Corrections,467.6375,,RM,1A4 NAC,Maryborough CC,Maryborough Correctional Centre,P25,Corrections
Aviation,Bundaberg Airport,124.100,,RM,CSQ,FIA,FIA - Brisbane Centre,AM,Aircraft
Aviation,Bundaberg Airport,126.900,,RM,CSQ,CTAF,CTAF,AM,Aircraft
