category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Volunteer Rescue,Camden Haven Sea Rescue,476.800,,BM,,PPP,Pet Porpoise Pool - Dolphin Marine Magic),FMN,Business
Attractions,Coffs Harbour,476.800,,BM,,PPP,Pet Porpoise Pool - Dolphin Marine Magic),FMN,Business
General,TAFE,477.150,,BM,94.8 PL,Taree,Taree - Security/Emergency,FMN,Business
