category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Councils,City of Lithgow,72.2125,,RM,,Lithgow RPT,Lithgow RPT TX,FMN,Public Works
Councils,City of Lithgow,72.800,,BM,,Hassans Wall,Hassans Wall TX/RX,FMN,Public Works
Councils,City of Lithgow,452.050,,BM,,Portland ( F,Portland ( Fixed Station ),FMN,Public Works
Councils,City of Lithgow,461.550,,RM,,Portland ( F,Portland ( Fixed Station ),FMN,Public Works
Councils,City of Lithgow,470.500,,RM,,Hassans Wall,Hassans Wall RPT TX,FMN,Public Works
