category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Communication Rentals,Vertel,71.350,VJF883,RM,,Vertel 7135,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,165.100,VH2QRQ,RM,,Vertel 16510,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,167.1375,VJF883,RM,,Vertel 71375,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,167.2875,VJF883,RM,,Vertel 72875,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,167.4375,VJF883,RM,,Vertel 74375,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,490.200,VH2PJB,RM,,Vertel 49020,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,490.800,VH2PJE,RM,,Vertel 49080,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,491.100,VH2PJD,RM,,Vertel 49110,"Tx One Tree Hill, Albury 50w",FM,Business
Communication Rentals,Vertel,492.300,VH2PJC,RM,,Vertel 49230,"Tx One Tree Hill, Albury 50w",FM,Business
