category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Municipalities,Gisborne,150.225,VJV807,BM,110.9 PL,Silver Comm,Silver Comm,FM,Business
Municipalities,Gisborne,150.5875,VH3IAY,BM,186.2 PL,Silver Comm,Silver Comm,FM,Business
Municipalities,Gisborne,163.125,VMV917,BM,114.8 PL,Sattcom,Sattcom,FM,Business
Municipalities,Gisborne,491.250,VMV452,BM,127.3 PL,Silver Comm,Silver Comm,FM,Business
