alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
754-IC 1b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,164.275
755-IC 4b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,164.225
756-IC 4a,Fire-Tac,Country Fire Authority,P25,,BM,8F3 NAC,Public Safety,VHF,,Current Allocation,163.025
757-IC 4c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.225
758-IC 6d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.200
759-IC 3d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.2375
760-IC 13b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,164.1125
761-IC 24b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.025
762-IC 11b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,164.1375
763-IC 18a,Fire-Tac,Country Fire Authority,P25,,BM,8F3 NAC,Public Safety,VHF,,Current Allocation,163.625
764-IC 8d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.175
765-IC 16d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.075
766-IC 10c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.150
767-IC 23b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.7875
768-IC 13c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.1125
769-IC 5c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.2125
770-IC 6e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.200
771-IC 3e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.2375
772-IC 4d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.225
773-IC 12c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.125
774-IC 9a,Fire-Tac,Country Fire Authority,P25,,BM,8F3 NAC,Public Safety,VHF,,Current Allocation,164.1625
775-IC 2c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.2625
776-IC 10d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.150
777-IC 14d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.100
778-IC 5d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.2125
779-IC 8e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.175
780-IC 7d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.1875
781-IC 10e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.150
782-IC 12d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.125
783-IC 2d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.2625
784-IC 6f,Fire-Tac,Country Fire Authority,P25,,BM,72B NAC,Public Safety,VHF,,Current Allocation,164.200
785-IC 14e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.100
786-IC 21b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.0625
787-IC 5e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.2125
788-IC 1c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.275
789-IC 12e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.125
790-IC 21c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.0625
791-IC 18b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.625
792-IC 7e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.1875
793-IC 13d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.1125
794-IC 11c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.1375
795-IC 3f,Fire-Tac,Country Fire Authority,P25,,BM,72B NAC,Public Safety,VHF,,Current Allocation,164.2375
796-IC 5f,Fire-Tac,Country Fire Authority,P25,,BM,72B NAC,Public Safety,VHF,,Current Allocation,164.2125
797-IC 19b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.1875
798-IC 14f,Fire-Tac,Country Fire Authority,P25,,BM,72B NAC,Public Safety,VHF,,Current Allocation,164.100
799-IC 2e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.2625
800-IC 9b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,164.1625
801-IC 15c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.0875
802-IC 17c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.0625
803-IC 22c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,162.8125
804-IC 20a,Fire-Tac,Country Fire Authority,P25,,BM,8F3 NAC,Public Safety,VHF,,Current Allocation,163.075
805-IC 20b,Fire-Tac,Country Fire Authority,P25,,BM,5B6 NAC,Public Safety,VHF,,Current Allocation,163.0625
806-IC 20c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.0625
807-IC 20d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,163.0625
808-IC 22d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,162.8125
809-IC 24c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.025
810-IC 24d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,163.025
811-IC 21d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,163.0625
812-IC 19c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.1875
813-IC 19d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,163.1875
814-IC 18c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.625
815-IC 18d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,163.625
816-IC 23c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,163.7875
817-IC 17d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.0625
818-IC 15d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.0875
819-IC 13e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.1125
820-IC 11d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.1375
821-IC 9c,Fire-Tac,Country Fire Authority,P25,,BM,63E NAC,Public Safety,VHF,,Current Allocation,164.1625
822-IC 9d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.1625
823-IC 9e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.1625
824-IC 4e,Fire-Tac,Country Fire Authority,P25,,BM,6B1 NAC,Public Safety,VHF,,Current Allocation,164.225
825-IC 1d,Fire-Tac,Country Fire Authority,P25,,BM,68F NAC,Public Safety,VHF,,Current Allocation,164.275
826-FLRE,Fire-Tac,Country Fire Authority,P25,,BM,920 NAC,Public Safety,VHF,,Current Allocation,163.5875
827-FLRE,Fire-Tac,Country Fire Authority,P25,,BM,920 NAC,Public Safety,VHF,,Current Allocation,163.8125
828-FLRE,Fire-Tac,Country Fire Authority,P25,,BM,920 NAC,Public Safety,VHF,,Current Allocation,163.4875
829-FLRE,Fire-Tac,Country Fire Authority,P25,,BM,885 NAC,Public Safety,VHF,,Current Allocation,163.5875
830-FLRE,Fire-Tac,Country Fire Authority,P25,,BM,885 NAC,Public Safety,VHF,,Current Allocation,163.8125
831-PP-1,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.2625
832-PP-2,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.375
833-PP-3,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.3875
834-NW-1,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.275
835-NW-2,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.3875
836-NW-3,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.2875
837-SW-1,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.375
838-SW-2,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.2875
839-SW-3,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.275
840-NE-1,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.3875
841-NE-2,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.2625
842-NE-3,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.375
843-GP-1,Fire-Tac,Country Fire Authority,FMN,,BM,141.3 PL,Public Safety,VHF,,Current Allocation,161.2875
844-GP-2,Fire-Tac,Country Fire Authority,FMN,,BM,141.3 PL,Public Safety,VHF,,Current Allocation,161.375
845-GP-3,Fire-Tac,Country Fire Authority,FMN,,BM,141.3 PL,Public Safety,VHF,,Current Allocation,161.275
846-SP-1,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.300
847-SP-2,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.300
848-SP-3,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.3125
849-SP-4,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.3125
850-SP-5,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.350
851-SP-6,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.350
852-SP-7,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.4375
853-SP-8,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.4375
854-SP-9,Fire-Tac,Country Fire Authority,FMN,,BM,141.3 PL,Public Safety,VHF,,Current Allocation,161.425
855-SP-10,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.425
856-SP-11,Fire-Tac,Country Fire Authority,FMN,,BM,107.2 PL,Public Safety,VHF,,Current Allocation,161.325
857-SP-12,Fire-Tac,Country Fire Authority,FMN,,BM,114.8 PL,Public Safety,VHF,,Current Allocation,161.3375
858-SP-13,Fire-Tac,Country Fire Authority,FMN,,BM,123.0 PL,Public Safety,VHF,,Current Allocation,161.3625
859-SP-14,Fire-Tac,Country Fire Authority,FMN,,BM,131.8 PL,Public Safety,VHF,,Current Allocation,161.450
860-SP-15,Fire-Tac,Country Fire Authority,FMN,,BM,141.3 PL,Public Safety,VHF,,Current Allocation,161.4125
861-SP-a,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,162.2125
862-SP-b,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,162.2125
863-SP-c,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,162.2125
864-SP-d,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,162.175
865-SP-e,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,162.175
866-SP-f,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,162.175
867-SP-g,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,162.0625
868-SP-h,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,162.0625
869-SP-i,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,162.0625
870-SP-j,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,162.475
871-SP-k,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,162.475
872-SP-l,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,162.475
873-SP-m,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,163.8125
874-SP-n,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,163.8125
875-SP-o,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,163.8125
876-SP-p,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,163.5875
877-SP-q,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,163.5875
878-SP-r,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,163.5875
879-SP-s,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,163.4875
880-SP-t,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,163.4875
881-SP-u,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,163.4875
882-SP-v,Fire-Tac,Country Fire Authority,FMN,,BM,210.7 PL,Public Safety,VHF,,Current Allocation,165.0375
883-SP-w,Fire-Tac,Country Fire Authority,FMN,,BM,151.4 PL,Public Safety,VHF,,Current Allocation,165.0375
884-SP-x,Fire-Tac,Country Fire Authority,FMN,,BM,100.0 PL,Public Safety,VHF,,Current Allocation,165.0375
885-IC 21a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.0625
886-IC 3a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.2375
887-IC 8a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.175
888-IC 2a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.2625
889-IC 17a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.0625
890-IC 6a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.200
891-IC 23a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.7875
892-IC 22a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,162.8125
893-IC 10a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.150
894-IC 1a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.275
895-IC 11a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.1375
896-IC 7a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.1875
897-IC 15a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.0875
898-IC 5a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.2125
899-IC 8b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.175
900-IC 3b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.2375
901-IC 19a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.1875
902-IC 12a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.125
903-IC 15b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.0875
904-IC 8c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.175
905-IC 12b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.125
906-IC 13a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.1125
907-IC 5b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.2125
908-IC 7b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.1875
909-IC 16a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.075
910-IC 6b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.200
911-IC 17b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.0625
912-IC 14a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.100
913-IC 16b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.075
914-IC 16c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.075
915-IC 14b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.100
916-IC 10b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.150
917-IC 3c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.2375
918-IC 2b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.2625
919-IC 7c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.1875
920-IC 4a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.225
921-IC 6c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.200
922-IC 22b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,162.8125
923-IC 14c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.100
924-IC 1b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.275
925-IC 4b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.225
926-IC 24a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.025
927-IC 4c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.225
928-IC 6d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.200
929-IC 3d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.2375
930-IC 13b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.1125
931-IC 24b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.025
932-IC 11b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.1375
933-IC 18a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.625
934-IC 8d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.175
935-IC 16d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.075
936-IC 10c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.150
937-IC 23b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.7875
938-IC 13c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.1125
939-IC 5c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.2125
940-IC 6e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.200
941-IC 3e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.2375
942-IC 4d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.225
943-IC 12c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.125
944-IC 9a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,164.1625
945-IC 2c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.2625
946-IC 10d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.150
947-IC 14d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.100
948-IC 5d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.2125
949-IC 8e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.175
950-IC 7d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.1875
951-IC 10e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.150
952-IC 12d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.125
953-IC 2d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.2625
954-IC 6f,Fire-Tac,Country Fire Authority,FMN,,BM,183.5 PL,Public Safety,VHF,,Current Allocation,164.200
955-IC 14e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.100
956-IC 21b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.0625
957-IC 5e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.2125
958-IC 1c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.275
959-IC 12e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.125
960-IC 21c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.0625
961-IC 18b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.625
962-IC 7e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.1875
963-IC 13d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,164.1125
964-IC 11c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.1375
965-IC 3f,Fire-Tac,Country Fire Authority,FMN,,BM,183.5 PL,Public Safety,VHF,,Current Allocation,164.2375
966-IC 5f,Fire-Tac,Country Fire Authority,FMN,,BM,183.5 PL,Public Safety,VHF,,Current Allocation,164.2125
967-IC 19b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.1875
968-IC 14f,Fire-Tac,Country Fire Authority,FMN,,BM,183.5 PL,Public Safety,VHF,,Current Allocation,164.100
969-IC 2e,Fire-Tac,Country Fire Authority,FMN,,BM,171.3 PL,Public Safety,VHF,,Current Allocation,164.2625
970-IC 9b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,164.1625
971-IC 15c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.0875
972-IC 17c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,164.0625
973-IC 22c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,162.8125
974-IC 20a,Fire-Tac,Country Fire Authority,FMN,,BM,229.1 PL,Public Safety,VHF,,Current Allocation,163.075
975-IC 20b,Fire-Tac,Country Fire Authority,FMN,,BM,146.2 PL,Public Safety,VHF,,Current Allocation,163.0625
976-IC 20c,Fire-Tac,Country Fire Authority,FMN,,BM,159.8 PL,Public Safety,VHF,,Current Allocation,163.0625
977-IC 20d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,163.0625
978-IC 22d,Fire-Tac,Country Fire Authority,FMN,,BM,167.9 PL,Public Safety,VHF,,Current Allocation,162.8125
